4188	三菱ケミカルグループ
8802	三菱地所
7211	三菱自動車工業
7011	三菱重工業
8058	三菱商事
9301	三菱倉庫
6503	三菱電機
8306	三菱UFJフィナンシャル・グループ
6479	ミネベアミツミ
4436	ミンカブ・ジ・インフォノイド
6981	村田製作所
2269	明治ホールディングス
6508	明電舎
4385	メルカリ
3064	MonotaRO
6630	ヤーマン
2267	ヤクルト本社
6506	安川電機
9831	ヤマダホールディングス
9064	ヤマトホールディングス
7272	ヤマハ発動機
2931	ユーグレナ
7182	ゆうちょ銀行
8113	ユニ・チャーム
7186	横浜フィナンシャルグループ
4689	LINEヤフー
5838	楽天銀行
4755	楽天グループ
5938	LIXIL
6098	リクルートホールディングス
7752	リコー
8308	りそなホールディングス
7453	良品計画
6723	ルネサスエレクトロニクス
6920	レーザーテック
4004	レゾナック・ホールディングス
9519	レノバ
6323	ローツェ
6963	ローム
7564	ワークマン
