TT	トレーン・テクノロジーズ
TTD	トレード・デスク
TXN	テキサス・インスツルメンツ
U	ユニティ・ソフトウェア
UAL	ユナイテッド・エアラインズ・ホールディングス
UBER	ウーバー・テクノロジーズ
ULTA	アルタ・ビューティー
UNH	ユナイテッドヘルス・グループ
UNP	ユニオン・パシフィック
UPS	ユナイテッド・パーセル・サービス
UPST	アップスタート・ホールディングス
URI	ユナイテッド・レンタルズ
USB	USバンコープ
V	ビザ
VLO	バレロ・エナジー
VRTX	バーテックス・ファーマシューティカルズ
VST	ヴィストラ
VZ	ベライゾン・コミュニケーションズ
WBA	ウォルグリーン・ブーツ・アライアンス
WDAY	ワークデイ
WDC	ウエスタン・デジタル
WFC	ウェルズ・ファーゴ
WMB	ウィリアムズ・カンパニーズ
WMT	ウォルマート
XOM	エクソンモービル・ホールディングス
XRX	ゼロックス・ホールディングス
XYZ	ブロック
YUM	ヤム・ブランズ
ZG	ジロー・グループ
ZM	ズーム・コミュニケーションズ
ZS	ゼットスケーラー
ZTS	ゾエティス
